SMILES,IC50 (nM)
C=CC(=O)N1CCCC(Nc2ncnc3[nH]cc(C(=O)N4CC(Oc5ccccc5)C4)c23)C1, 1.9
C=CC(=O)N1CCC[C@@H](Sc2nc(Nc3cnn(CC)c3)nc3[nH]ncc23)C1, 1.90
CC(=O)N1CCN(C(C)(C)C=C(C#N)C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4F)c4c(N)ncnc43)C2)CC1, 1.90
C=CC(=O)N1CC(c2cc3cc(C4CC4)ccc3c(=O)n2-c2cccc(-c3cc(N)c(=O)n(C)c3)c2CO)C1, 1.90
CC#CC(=O)N1CCC2CN(c3c(F)cc(C(N)=O)c4[nH]c(C)c(C)c34)CC21, 1.90
Cn1cc(-c2nc3c(-c4ccc(CN5CCc6cc(C(C)(C)C)ccc6C5=O)c(F)c4)ccnc3[nH]2)cn1, 1.9
CC#CC(=O)N1CCC2CN(c3c(F)cc(C(N)=O)c4[nH]c(C)c(C)c34)CC21, 1.90
CC#CC(=O)N1CC=C(c2c[nH]c3ncnc(-c4ccc(CNC(=O)c5ccc(C6CC6)cc5)c(F)c4)c23)CC1, 1.9
NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn(C2CC3(C2)CN(C(=O)/C=C/CN2CCOCC2)C3)c1N, 1.90
C=CC(=O)N1CCC[C@@H](Nc2nccc(Nc3ncc(C(=O)Nc4c(C)cccc4C)s3)n2)C1, 1.90
Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1, 1.9
O=C1c2c(F)cc(C3CC3)cc2OCCN1c1cc(F)cc(-c2ccnc3[nH]c(-c4ccc(CN5CCN(CC(F)(F)F)CC5)cn4)cc23)c1CO, 1.9
Nc1nccc2c1n(-c1ccc(Oc3ccccc3)cc1)c(=O)n2[C@H]1CCN(C(=O)/C=C\CF)C1, 1.90
CC(=O)N1CCN(C(C)(C)/C=C(\C#N)C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4F)c4c(N)ncnc43)C2)CC1, 1.9
CC(=O)N1CCN(C(C)(C)C=C(C#N)C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4F)c4c(N)ncnc43)C2)CC1, 1.9
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3cnn(CC(F)F)c3)nc3[nH]cc(Cl)c23)C1, 1.90
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OC)cc3)nn21, 1.90
O=C(CNc1cccc(Cl)c1)NC1CCCN(c2ncnc3[nH]ccc23)C1, 1.9
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OC)cc3)nn21, 1.90
O=C(c1ccccc1Cl)c1c[nH]c2ncnc(N[C@H]3CC[C@@H](NC(=O)C4(O)CC4)CC3)c12, 1.90
O=C(c1ccccc1Cl)c1c[nH]c2ncnc(N[C@H]3CC[C@@H](N4CCCC4=O)CC3)c12, 1.90
C=CC(=O)N[C@H]1CCN(c2ccc(C(N)=O)c(Nc3ccc(N4C[C@@H](C)O[C@@H](C)C4)nc3)n2)C1, 1.9
C=CC(=O)N1CC[C@]2(C1)C[C@H](n1nc(-c3ccc(OC4CCCC4)cc3)c(C(N)=O)c1N)C2, 1.90
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(-c4ccc(Cl)cc4)ccn3)cc2)c(C(N)=O)n1N, 1.9
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(NC(=O)c4cccc5c4CCCC5)c4c3OCO4)c3c(N)ncnc32)C1, 1.9
CC(C)(C=C(C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)nccc32)C1)N1CCN(C2COC2)CC1, 1.90
N#CN1CCCC(n2nc(-c3ccc(Oc4cc(F)cc(Cl)c4)cc3)c(C(N)=O)c2N)C1, 1.90
